Order,Scientific_Name,Common_Name,Taxon,Frequency,BMWPScore,,
Oligochaeta,,Worm,Order,1,1,,
Diptera,,Blackfly_larvae,Order,1,5,,
Coleoptera,dytiscidae,Diving_beetle,Family,1,5,,
Hemiptera,Corixidae,Lesser Water Boatman,Family,4,5,,
Odonata,zygoptera ,Damselfly_larvae,Suborder,2,6,,
Odonata,anisoptera,Dragonfly_larvae,Infraorder,3,6,,
Hemiptera,Notonectidae,Greater Water Boatman,Family,2,5,,
Plecoptera,,Stonefly_larvae,Order,8,7,,
Coleoptera,,Waterbeetle_larvae ,Order,1,5,,
Coleoptera,,Waterbeetle ,Order,1,5,,
Trichoptera,,Caddisfly_larvae,Order,1,6,,
Ephemeropltera ,,Mayfly_larvae,Order,2,7,,
Ephemeroptera,,Mayfly_larvae,Order,2,7,,
Plecoptera,,Stonefly_larvae,Order,1,7,,
Trichoptera,,Caddisfly_case,Order,1,6,,
Diptera,simuliidae,Blackfly_larvae,Family,1,5,,
