Order,Scientific_Name,Common_Name,Taxon,Frequency
Lepidoptera,Standfussiana_lucernea,Northern rustic ,Species ,1
Lepidoptera,Denticucullus_pygmina,Small wainscot,Species ,2
Lepidoptera,Xestia_xanthographa ,Square spot rustic ,Species ,2
Diptera,Limoniidae,Crane fly ,Family,3
Araneae,Linyphiidae,Money spider,Family ,1
Hemiptera,Rhopalidae,Scentless plant bugs,Family,1
Lepidoptera,Agrius_convolvuli,Convolvulus hawk moth,Species ,1
Lepidoptera,Tipulidae,Crane fly ,Family,1
Hymenoptera,Ophion_sp,Parasitic wasps,Genus ,2
Trichoptera,Limnephilus_lunatus,Cinnamon sedge caddisfly,Species ,1
