Scientific_Name,Common_Name,Taxon,Frequency
Columba palumbus,Wood pigeon,Species,3
Columba palumbus,Wood pigeon,Species,4
Columba palumbus,Wood pigeon,Species,2
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,2
Motacilla alba,Pied wagtail,Species,1
Erithacus rubecula,European robin,Species,1
Cyanistes caeruleus,Blue tit,Species,1
Coloeus monedula,Western jackdaw,Species,15
Periparus ater,Coal tit,Species,1
Coloeus monedula,Western jackdaw,Species,1
Aquila chrysaetos,Golden eagle,Species,1
Corvus corone,Carrion crow,Species,2
Turdus philomelos,Song thrush,Species,3
Alauda arvensis,Skylark,Species,2
Anthus pratensis,Meadow pipit,Species,6
Aquila chrysaetos,Golden eagle,Species,3
