Scientific_Name,Common_Name,Taxon,Frequency
Columba palumbus,Wood pigeon,Species,3
Columba palumbus,Wood pigeon,Species,4
Columba palumbus,Wood pigeon,Species,2
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,1
Columba palumbus,Wood pigeon,Species,2
Motacilla alba,Pied wagtail,Species,1
Erithacus rubecula,European robin,Species,1
Cyanistes caeruleus,Blue tit,Species,1
Coloeus monedula,Western jackdaw,Species,15
Periparus ater,Coal tit,Species,1
Coloeus monedula,Western jackdaw,Species,1
