Order,Scientific_Name,Common_Name,Taxon,Frequency
Lepidoptera,Aporophyla_nigra ,Black rustic,Species ,3
Lepidoptera,Xestia_xanthographa ,Square spot rustic,Species ,3
Lepidoptera,Geometridae,Larval geometrid,Species ,1
Diptera,Tipula_oleracea ,Marsh crane fly,Species ,2
Lepidoptera,Noctua_pronuba ,Large yellow underwing,Species ,1
Lepidoptera,Paradiarsia_glareosa ,Autumnal rustic,Species ,1
Lepidoptera,Xestia_agathina ,Heath rustic,Species ,1
Lepidoptera,Blastobasis_lacticolella,Large pale masoner,Species ,1
Lepidoptera,Stilbia_anomala,The anomalous,Species ,1
Lepidoptera,Standfussiana_lucernea,Northern rustic,Species ,1
Lepidoptera,Denticucullus_pygmina,Small wainscot,Species ,2
Lepidoptera,Xestia_xanthographa ,Square spot rustic,Species ,2
Diptera,Limoniidae,Crane fly,Family,3
Araneae,Linyphiidae,Money spider,Family ,1
Hemiptera,Rhopalidae,Scentless plant bugs,Family,1
Lepidoptera,Agrius_convolvuli,Convolvulus hawk moth,Species ,1
Lepidoptera,Tipulidae,Crane fly,Family,1
Hymenoptera,Ophion_sp,Parasitic wasps,Genus ,2
Trichoptera,Limnephilus_lunatus,Cinnamon sedge caddisfly,Species ,1
Lepidoptera,Aporophyla_nigra ,Black rustic,Species,1
Lepidoptera,Xestia_xanthographa ,Square spot rustic,Species,5
Trichoptera,Trichoptera,Caddis fly,Order,1
Lepidoptera,Euxoa_nigricans,Garden dart,Species,1
Diptera,Tipuloidea,Crane fly,Super_family,4
Diptera,Culicidae,Mosquito,Family ,1
Diptera,Diptera ,Fly,Family,1
Lepidoptera,Colostygia_pectinataria,Green carpet moth,Species,1
Lepidoptera,Cardrina_morpheus,Mottled rustic,Species,1
