North Low,,,South Low,,,,Bell heather
Common name,Count of Common name,,Common name,Count of Common name,,,Big shaggy-moss
Big shaggy-moss,6,,Bog myrtle,1,,,Bog myrtle
Bracken,10,,Bracken,1,,,Bracken
Common bent,2,,Common bent,2,,,Broom fork-moss
Creeping buttercup,1,,Common nettle,1,,,Common bent
European blackberry,9,,Hard rush,1,,,Common foxglove
European honeysuckle,1,,Mat grass,7,,,Common haircap
Gorse,1,,Sedge,3,,,Common heather
Hedge bedstraw,3,,Soft rush,2,,,Common nettle
Tormentil,1,,Sphagnum moss,1,,,Creeping buttercup
Wood sage,2,,Tormentil,3,,,European blackberry
,36,,Tufted hairgrass,3,,,European honeysuckle
North Mid,,,White clover,2,,,Gorse
Common name,Count of Common name,,Yorkshire fog,2,,,Hard rush
Big shaggy-moss,3,,,29,,,Heath bedstraw
Bracken,3,,South Mid,,,,Little mouse-ear chickweed
European blackberry,1,,Common name,Count of Common name,,,Marsh violet
Hedge bedstraw,10,,Big shaggy-moss,1,,,Mat grass
Little mouse-ear chickweed,1,,Bracken,5,,,Primrose
Marsh violet,2,,Common bent,5,,,Sedge
St. johns wort,1,,Common haircap,2,,,Soft rush
Sweet vernal grass,4,,Heath bedstraw,4,,,Sphagnum moss
Tormentil,2,,Mat grass,10,,,St. johns wort
Tufted hair grass,2,,Primrose,1,,,Sweet vernal grass
Wavy hair-grass,7,,Sedge,3,,,Tormentil
Wood sorrel,1,,Tormentil,6,,,Tufted hair grass
Yellow pimpernel,1,,Tufted hairgrass,2,,,Wavy hair-grass
Yorshire fog,8,,Yorkshire fog,7,,,White clover
,46,,,46,,,Wood sage
North High,,,South High,,,,Wood sorrel
Common name,Count of Common name,,Common name,Count of Common name,,,Yellow pimpernel
Bell heather,9,,Big shaggy-moss,1,,,Yorkshire fog
Big shaggy-moss,9,,Bracken,6,,,
Bracken,4,,Common nettle,1,,,
Broom fork-moss,2,,Heath bedstraw,2,,,
Common foxglove,1,,Marsh violet,2,,,
Common heather,8,,Mat grass,8,,,
Creeping buttercup,2,,Tormentil,5,,,
Hedge bedstraw,4,,Yorkshire fog,1,,,
Soft rush,1,,,26,,,
Tormentil,6,,,,,,
Wavy hair-grass,3,,,,,,
Wood sage,3,,,,,,
Yorshire fog,3,,,,,,
,55,,,,,,
