Order,Scientific_Name,Common_Name,Taxon,Frequency
Lepidoptera ,Xestia_xanthographa ,Square spot rustic ,Species ,12
Lepidoptera ,Colostygia_pectinataria,Green carpet moth,Species ,3
Lepidoptera ,Xestia_agathina ,Heath rustic ,Species ,1
Lepidoptera ,Conistra_vaccinii,Chestnut moth,Species ,1
Lepidoptera ,Xanthia_togata,Pink barred sallow moth,Species ,1
Lepidoptera ,Denticucullus_pygmina,Small wainscot,Species ,1
Lepidoptera ,Clubiona_Latreille,Leaf curling sac spiders,Species ,1
Lepidoptera ,Dysstroma_truncata,Common marbled carpet,Species ,1
Diptera,Sciaridae,Dark winged fungus gnats ,Family,1
Trichoptera ,Limnephilus_lunatus,Cinnamon sedge caddisfly,Species ,1
Diptera,,Crane fly ,Species ,12
Diptera,Tipula_paludosa ,European crane fly,Species ,1
Diptera,Tipula_oleracea ,Marsh crane fly ,Species ,1
