Scientific_Name,Common_Name,Taxon,Frequency
Aquila chrysaetos,Golden eagle,Species,1
Corvus corax,Common raven,Species,2
Anthus pratensis,Meadow pipit,Species,2
Certhia familiaris,Treecreeper,Species,1
Troglodytes troglodytes,Eurasion wren,Species,2
Aegithalos caudatus,Long tailed tit,Species,1
Anthus pratensis,Meadow pipit,Species,1
Falco tinnunculus,Common kestrel,Species,1
Aquila chrysaetos,Golden eagle,Species,1
Troglodytes troglodytes,Eurasion wren,Species,1
Troglodytes troglodytes,Eurasion wren,Species,2
Erithacus rubecula,European robin,Species,1
Columba palumbus,Wood pigeon,Species,5
Anthus pratensis,Meadow pipit,Species,6
Corvus corax,Common raven,Species,2
Turdus philomelos,Song thrush,Species,1
