Order,Scientific Name,Common_Name,Taxon ,Frequency
Hymenoptera,Formicidae,Ant,Family,5
Hemiptera,Aphididae,Aphid,Family,1
Lepidoptera,Lepidoptera,Caterpillar,Order,4
Diptera,Tipuloidea,Crane fly,Family,1
Coleoptera,Anoplotrupes_stercorosus,Dor beetle,Species,2
Lepidoptera,Euthrix_potatoria,Drinker moth,Species,1
Diptera,Diptera,Fly,Order,21
Araneae,Leiobunum_rotundum,Harverstman spider,Species,1
Homoptera,Homoptera,Insect,Order,19
Araneae,Linyphiidae,Money spider,Family,3
Araneae,Araneae,Spider,Order,32
Poduromorpha,Poduromorpha,Springtail,Order,1
Thysanoptera,Thysanoptera,Thrip,Order,1
Ixodida,Ixodoidea,Tick,Family,166
Hemiptera,Hemiptera,True bug,Order,8
Coleoptera,Pterostichus_niger,Woodland ground beetle,Order,1
