Order,Scientific Name,Common_Name,Taxon ,Frequency
Hymenoptera,Formicidae,Ant,Family,2
Lepidoptera,Lepidoptera,Caterpillar,Order,1
Diptera,Diptera,Fly,Order,18
Araneae,Leiobunum_rotundum,Harverstman spider,Species,1
Homoptera,Homoptera,Insect,Order,12
Araneae,Linyphiidae,Money spider,Family,3
Araneae,Araneae,Spider,Order,12
Poduromorpha,Poduromorpha,Springtail,Order,1
Ixodida,Ixodoidea,Tick,Family,12
Hemiptera,Hemiptera,True bug,Order,2
Coleoptera,Pterostichus_niger,Woodland ground beetle,Order,1
