Order,Scientific_Name,Common_Name,Taxon,Frequency
Lepidoptera ,Denticucullus_pygmina,Small wainscot,Species ,2
Lepidoptera ,Xestia_castanea,Neglected rustic,Species ,1
Trichoptera ,Limnephilus_lunatus,Caddis fly,Species ,2
Lepidoptera ,Dysstroma_truncata,Common marbled carpet,Species ,1
Ixodida,Ixodes_ricinus,Sheep tick,Species ,1
Julida,Tachypodoiulus_niger,White legged snake millipede,Species ,1
Lepidoptera ,Xestia_xanthographa ,Square spot rustic,Species ,12
Lepidoptera ,Colostygia_pectinataria,Green carpet moth,Species ,3
Lepidoptera ,Xestia_agathina ,Heath rustic,Species ,1
Lepidoptera ,Conistra_vaccinii,Chestnut moth,Species ,1
Lepidoptera ,Xanthia_togata,Pink barred sallow moth,Species ,1
Lepidoptera ,Denticucullus_pygmina,Small wainscot,Species ,1
Lepidoptera ,Clubiona_Latreille,Leaf curling sac spider,Species ,1
Lepidoptera ,Dysstroma_truncata,Common marbled carpet,Species ,1
Diptera,Sciaridae,Dark winged fungus gnats,Family,1
Trichoptera ,Limnephilus_lunatus,Cinnamon sedge caddisfly,Species ,1
Diptera,Tipula_rufina,Crane fly,Species ,15
Diptera,Tipula_oleracea ,Marsh crane fly,Species ,1
Trichoptera ,Trichoptera,Caddis fly,Order,1
Hymenoptera,Cardrina_morpheus,Mottled rustic,Species,1
Diptera,Culicidae,Mosquito,Family,4
Diptera,Tipuloidea,Crane fly,Super_family,1
