Order,Scientific_Name,Common_Name,Taxon,Frequency
Ixodida,Ixodoidea,Tick,Family,11
Araneae,Araneae,Spider,Order,1
Ixodida,Ixodoidea,Tick,Family,13
Homoptera,Homoptera,Insect,Order,1
Lepidoptera,Lepidoptera,Caterpillar,Order,2
Ixodida,Ixodoidea,Tick,Family,19
Araneae,Araneae,Spider,Order,1
Ixodida,Ixodoidea,Tick,Family,48
Hemiptera,Hemiptera,True_bug,Order,1
Hemiptera,Hemiptera,True_bug,Order,1
Ixodida,Ixodoidea,Tick,Family,25
Diptera,Diptera,Fly,Order,1
Hemiptera,Hemiptera,True_bug,Order,1
Homoptera,Homoptera,Insect,Order,4
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,2
Diptera,Diptera,Fly,Order,1
Hemiptera,Hemiptera,True_bug,Order,1
Araneae,Araneae,Spider,Order,3
Ixodida,Ixodoidea,Tick,Family,5
Hemiptera,Hemiptera,True_bug,Order,1
Diptera,Diptera,Fly,Order,1
Araneae,Araneae,Spider,Order,2
Ixodida,Ixodoidea,Tick,Family,4
Coleoptera,Geotrupes_stercorarius,Dor_beetle,Species,1
Lepidoptera,Lepidoptera,Caterpillar,Order,1
Lepidoptera,Euthrix_potatoria,Drinker_moth,Species,1
Ixodida,Ixodoidea,Tick,Family,20
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,1
Hemiptera,Aphididae,Aphid,Family,1
Araneae,Araneae,Spider,Order,1
Ixodida,Ixodoidea,Tick,Family,1
Hymenoptera,Formicidae,Ant,Family,1
Hymenoptera,Formicidae,Ant,Family,1
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,1
Ixodida,Ixodoidea,Tick,Family,1
Ixodida,Ixodoidea,Tick,Family,4
Hymenoptera,Formicidae,Ant,Family,1
Araneae,Araneae,Spider,Order,1
Thysanoptera,Thysanoptera,Thrip,Order,1
Diptera,Tipuloidea,Crane_fly,Family,1
Araneae,Araneae,Spider,Order,2
Ixodida,Ixodoidea,Tick,Family,3
Araneae,Araneae,Spider,Order,1
Homoptera,Homoptera,Insect,Order,2
Hemiptera,Hemiptera,True_bug,Order,1
Diptera,Diptera,Fly,Order,2
Ixodida,Ixodoidea,Tick,Family,2
Araneae,Araneae,Spider,Order,1
Diptera,Diptera,Fly,Order,3
Diptera,Diptera,Fly,Order,1
Ixodida,Ixodoidea,Tick,Family,2
Araneae,Linyphiidae,Money_spider,Family,1
Ixodida,Ixodoidea,Tick,Family,2
Diptera,Diptera,Fly,Order,1
Araneae,Araneae,Spider,Order,2
Hemiptera,Hemiptera,True_bug,Order,1
Hemiptera,Hemiptera,True_bug,Order,1
Araneae,Araneae,Spider,Order,1
Diptera,Diptera,Fly,Order,2
Diptera,Diptera,Fly,Order,4
Diptera,Diptera,Fly,Order,1
Homoptera,Homoptera,Insect,Order,3
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,1
Hymenoptera,Formicidae,Ant,Family,1
Ixodida,Ixodoidea,Tick,Family,1
Homoptera,Homoptera,Insect,Order,2
Araneae,Araneae,Spider,Order,2
Araneae,Araneae,Spider,Order,1
Araneae,Araneae,Spider,Order,1
Diptera,Diptera,Fly,Order,3
Hymenoptera,Formicidae,Ant,Family,1
Ixodida,Ixodoidea,Tick,Family,2
Diptera,Diptera,Fly,Order,2
Diptera,Diptera,Fly,Order,1
Homoptera,Homoptera,Insect,Order,2
Araneae,Leiobunum_rotundum,Harverstman_spider,Species,1
Araneae,Araneae,Spider,Order,1
Homoptera,Homoptera,Insect,Order,1
Ixodida,Ixodoidea,Tick,Family,2
Araneae,Linyphiidae,Money_spider,Family,2
Lepidoptera,Lepidoptera,Caterpillar,Order,1
Homoptera,Homoptera,Insect,Order,3
